11290	625550
47540	616821
10708	605893
39333	553830
11106	546903
11316	544543
11898	542536
34335	542493
36534	540064
49554	535815
47714	533602
40017	529636
40944	529405
11224	515885
13196	514508
10864	514339
22394	504446
15957	500419
4787	500105
30784	499378
17517	487982
1608	480585
14441	473786
32872	468697
47402	466681
18628	465587
8330	465252
19031	463017
10902	462003
12194	459643
13721	459384
46708	455979
3478	455338
39067	455256
38999	453986
14093	452999
47912	447798
3286	447184
13487	442460
44614	442305
3290	441834
14998	441315
45315	440761
19044	440511
44231	437898
44908	436751
36247	435880
46814	435338
31461	434319
43804	433792
45536	433780
45866	433680
3076	433468
34099	432006
37928	431715
48955	431177
33662	430478
16550	427584
22058	427313
48642	425458
3735	425232
39697	424530
48978	424113
49450	423569
15394	422935
9855	422796
49770	422457
5481	421207
15875	420855
46452	419730
48656	419610
5128	418554
854	418018
27789	418014
43700	417677
27543	416219
44684	416219
17978	415900
47083	415586
21887	414716
7348	414316
33610	413623
12141	413198
46284	413114
8680	412921
19981	412288
9249	412248
31778	412166
1371	412112
13179	412004
36295	411818
12172	411225
3434	411215
19925	410202
764	409948
4922	409883
3851	409466
35466	409293
29077	408593
5648	408535
42309	408406
13717	408384
49916	408380
45465	408106
47482	408061
16523	408009
6271	407684
46052	407595
35834	406779
8027	406695
808	406505
25439	405212
10622	404928
13493	403879
563	403269
49417	403262
40812	403077
7426	402186
5318	401478
16856	401195
29457	400693
14295	400424
19117	400248
113	399475
13678	399050
6082	398704
31615	398674
8452	398433
18392	397715
22031	397694
12333	397563
27648	397445
31544	397380
3389	397301
14033	397117
15094	397109
48752	396765
42783	396735
33957	396578
31306	396386
38591	396155
33896	395773
480	395497
35880	395449
39428	395040
31996	394688
48882	394631
4983	394482
16193	393642
2015	392737
19415	392567
42012	392405
14689	391964
34584	391855
19172	391697
15477	391680
2552	391310
43907	390946
45141	390397
39880	390085
20203	389946
44495	389828
19019	389733
4227	389338
16958	389150
21118	388717
12987	388674
16118	388249
4044	387828
48056	387260
6652	387001
12500	386969
49165	386891
9378	386681
18570	386654
41993	386575
11556	385893
3541	385810
43594	385382
34564	385120
20699	385042
49495	384504
12192	384491
29094	384259
17213	384146
8601	383912
31418	383865
4245	383623
43558	383459
8845	383280
35410	383158
10710	382693
44244	382693
22347	382586
6374	382529
47610	382509
35181	382456
16615	382284
27070	382229
49066	381909
22267	381866
2906	381853
49629	381489
15956	381480
32344	381363
4384	381191
13941	381086
26801	381031
321	380997
44152	380686
11863	380631
36034	379999
21647	379591
45032	379581
11947	379575
44290	379506
47741	378977
47046	378766
22433	378730
21043	378603
48445	378487
33326	377947
21397	377735
43858	377344
31640	377326
39314	377297
13164	376896
42970	376875
27767	376458
40346	376230
30054	375934
22799	375825
39891	375771
37516	375708
15179	375663
14905	375585
11995	375429
29592	375024
43162	374539
39379	374518
14404	373996
49046	373985
3036	373629
25145	373417
27703	373395
24398	373242
4061	372980
9937	372750
5521	372298
43705	372243
10149	372179
45846	372127
30663	371936
27503	371561
43405	370876
24439	370865
1837	370547
38441	370280
40676	370269
18834	370072
992	369841
4610	369689
2228	369529
490	369301
472	369136
20023	368626
42532	368569
44278	368450
45746	368361
36195	368261
38872	367490
40484	367452
48205	367238
25753	367172
24812	366872
38402	366834
26483	366510
36143	366377
9322	366042
36490	366030
34195	365934
44475	365886
36141	365655
32143	365574
15528	365336
47395	365278
45144	365068
11942	365034
14696	365003
47810	364943
41572	364871
10802	364852
26694	364750
4393	364476
14990	364325
39406	363673
36306	363606
43612	363582
13917	363236
2943	362977
25092	362932
41546	362244
14338	362224
17640	361846
46565	361707
10231	361427
47763	361383
11049	361227
40135	360739
19934	360609
42357	360349
37250	360342
41349	359698
26878	359595
26301	359440
1611	358783
30049	358647
2747	358616
46973	358534
23316	358406
25888	358101
6071	357952
9013	357799
15131	357757
19079	357712
37676	357529
24378	357526
25323	357445
12564	357386
4742	357006
29603	356910
30624	355965
48184	355882
22800	355670
49204	355655
19023	355588
24494	355469
18572	355331
37211	355083
35607	354959
21176	354661
29968	354352
40508	354287
15916	354267
33127	354015
4455	353892
45824	353892
13827	353697
10743	353574
6563	353565
37422	353565
38722	353516
19239	353452
43665	353414
45344	353292
40667	353284
8184	353146
10220	352991
49239	352874
27963	352846
8168	352522
26245	352430
37624	352387
23438	351383
18699	350975
18290	350448
48194	350424
37006	350311
17793	350246
36233	349991
21424	349568
21326	349566
42258	349558
2457	349465
39656	349353
40935	349285
36338	349169
1623	349093
5122	349072
34749	348931
8586	348677
6642	348289
37758	348231
41386	348212
7404	348094
48832	348023
19717	347716
16253	347573
22789	347531
10656	347469
34594	347332
40371	347011
36428	346788
23517	346635
36811	346469
7621	346462
32843	346446
48681	346393
35057	346342
10076	346290
4604	346152
41500	346136
49584	346031
22114	345994
19146	345924
32451	345864
46115	345621
28706	345572
49106	345535
4070	345435
21251	345369
7926	345356
20776	345120
25400	345048
12471	344677
18431	344556
27098	344469
49321	344379
44398	344277
16630	344067
43790	343996
7401	343848
32291	343841
24541	343783
14920	343759
9427	343665
4341	343619
10849	343599
14166	343521
1107	343083
48534	342576
11126	342574
13597	342558
14499	342521
1336	342344
12557	342160
44283	342058
11454	341963
10318	341857
10121	341756
34450	341300
26884	341231
34005	341228
21198	340921
16892	340723
23531	340661
5471	340561
37350	340516
46135	340325
37565	340193
34815	340129
46110	339973
21651	339922
11765	339846
32621	339797
16451	339761
47025	339566
44217	339562
30036	339555
14351	339241
21689	339175
46445	339058
41735	338972
2802	338727
15003	338613
5874	338512
32902	338498
48095	338493
27643	338460
31400	338434
10295	338341
19873	338333
20031	338294
43206	338190
39385	337797
6067	337793
33835	337555
46898	337511
20585	337428
20073	337210
36430	337197
34233	337122
40767	336957
26300	336805
20673	336726
31208	336713
15180	336699
21559	336543
3845	336511
40770	336424
270	336381
11331	336342
34575	336296
6136	336239
40138	335956
8004	335949
1735	335897
27677	335897
37164	335872
23033	335545
19770	335419
44868	335202
40050	335134
8591	335085
42016	335042
29381	335035
9823	335032
24495	334922
8238	334803
3825	334571
31834	334565
35412	334466
24117	334354
48459	334304
32388	334124
21274	333896
40920	333860
30252	333842
37569	333830
4859	333784
1364	333758
48332	333736
11682	333468
14875	333453
4695	333410
18766	333387
