Indie	4699805459
Pop	3916637999
Rap	2888914186
Latino	1953132011
Pop-Rock	1939002474
Punk	1914131397
Rock	1899856670
Dance	1882029421
Compilation	1009992493
Gospel	1005454870
Heavy Metal	1001707668
J-Rock	993040263
Death Metal	992830827
Holy Metal	991769597
Metal	983639223
Lounge	978652545
Country	976913380
Trap	975401621
Hard Rock	971337065
Jazz	971138683
Retro	967534902
Boy Band	967144567
Parody	966623545
K-Pop	966169544
Folk	965444874
Progressive	964075917
Brit-Pop	961891545
Techno	960081079
Blues	954110333
Western	948706859
Ambient	948095092
Alternative	947415937
Deep House	946470811
Black Metal	924992648
Unplugged	923395117
Electro-Pop	920227112
Live	917567577
Indietronica	909137345
